,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type,Popularity,ID,TMDB Rating
298,The Toys That Made Us,2017,16+,8.1,100%,1,0,0,0,1,3.896,75871,7.7
299,Seven Seconds,2018,18+,7.7,77%,1,0,0,0,1,5.351,75540,7.3
300,Spinning Out,2020,18+,7.7,63%,1,0,0,0,1,14.753,83050,8.4
301,Killer Inside: The Mind of Aaron Hernandez,2020,18+,7.4,75%,1,0,0,0,1,5.858,97062,7.6
302,El internado,2007,7+,8.2,,1,0,0,0,1,57.141,4743,7
303,Frozen Planet,2011,all,9.0,,1,0,0,0,1,13.257,8724,8.3
304,London Spy,2015,18+,7.5,86%,1,0,0,0,1,16.643,64383,7.2
305,Parasyte -the maxim-,2014,18+,8.4,,1,1,0,0,1,35.237,61459,8.5
306,Containment,2016,16+,7.2,50%,1,0,0,0,1,15.565,62919,6.4
307,Black Lightning,2018,16+,6.1,95%,1,0,0,0,1,35.243,71663,7
308,Merlí,2015,16+,8.6,,1,0,0,0,1,48.261,62914,8.7
309,Derek,2013,16+,8.0,68%,1,0,0,0,1,5.848,60655,7.2
310,Last Chance U,2016,16+,8.5,93%,1,0,0,0,1,113.255,67027,7.7
311,Mars,2016,7+,7.5,61%,1,0,0,0,1,28.269,1432,7.8
312,Love is Blind,2020,7+,6.0,73%,1,0,0,0,1,2.871,99353,8.6
313,Love 101,2020,18+,7.7,,1,0,0,0,1,5.48,100897,7.1
314,3%,2016,7+,7.4,33%,1,0,0,0,1,230.408,68467,7.2
315,Zoo,2015,16+,6.8,82%,1,0,0,0,1,53.882,62517,5.9
316,Daybreak,2019,18+,6.7,70%,1,0,0,0,1,18.076,83478,7.2
317,Hemlock Grove,2013,18+,7.1,38%,1,0,0,0,1,30.09,42295,6.9
