,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Popularity,ID,TMDB Rating,Rating Count,Last Episode Rating,Last Air Date,First Air Date,# of Seasons,# of Episodes,Genre,Language,Country,In Production,Origin Network,Similar_1,Similar_2
2085,Nip/Tuck,2003,18+,7.6,75%,0,1,0,0,32.165,3750,6.9,187,,2010-03-03,2003-07-22,7,100,,en,US,False,FX,Hart of Dixie,Miami Vice
2086,New Amsterdam,2018,16+,8.1,34%,0,1,0,0,29.558,80350,8.2,133,,2020-04-14,2018-09-25,2,40,,en,US,True,NBC,Chicago Hope,Saving Hope
2087,Hellsing Ultimate,2006,18+,8.3,80%,0,1,0,0,16.689,61752,8.6,213,,2012-12-26,2006-02-10,1,10,,ja,JP,False,,ヘルシング,ダンスインザヴァンパイアバンド
2088,Steven Universe,2013,7+,8.2,,0,1,0,0,71.966,61175,8,220,,2019-01-21,2013-11-04,5,154,,en,US,False,Cartoon Network,神様はじめました,魔法使いの嫁
2089,Drake & Josh,2004,7+,7.7,,0,1,0,0,116.526,2038,8.4,921,,2007-09-16,2004-01-11,4,59,,en,US,False,Nickelodeon,Malcolm in the Middle,Even Stevens
2090,Ugly Betty,2006,7+,6.5,97%,0,1,0,0,13.706,4626,6.1,116,,2010-04-14,2006-09-28,4,85,,en,US,False,ABC,Just Shoot Me!,Power
2091,black-ish,2014,7+,7.1,91%,0,1,0,0,34.446,61381,7.4,172,,2020-05-05,2014-09-24,6,141,,en,US,True,ABC,Stuck in the Middle,The Fresh Prince of Bel-Air
2092,Marvel's Cloak & Dagger,2018,16+,6.7,87%,0,1,0,0,34.827,66190,7.5,284,,2019-05-30,2018-06-07,2,20,,en,US,False,Freeform,Marvel's Luke Cage,Marvel's Jessica Jones
2093,Wilfred,2011,18+,7.8,83%,0,1,0,0,12.625,39525,7.3,180,,2014-08-13,2011-06-23,4,49,,en,US,False,FX,,
2094,Catch-22,2019,18+,7.8,84%,0,1,0,0,8.62,82744,7.7,51,,2019-05-17,2019-05-17,1,6,,en,US,False,Hulu,'Allo 'Allo!,Band of Brothers
2095,Stargate Atlantis,2004,7+,8.1,,0,1,1,0,43.822,2290,7.9,467,,2009-01-08,2004-07-15,5,100,,en,US,False,Syfy,Stargate Universe,Farscape
2096,M*A*S*H,1972,7+,8.4,,0,1,0,0,44.641,918,7.8,326,,1983-02-28,1972-09-17,11,251,,en,US,False,CBS,תאג''ד,China Beach
2097,Invader Zim,2001,7+,8.3,100%,0,1,0,0,14.03,3793,8.2,165,,2006-08-19,2001-03-30,2,46,,en,US,False,Nickelodeon,,
2098,For Life,2020,16+,7.5,86%,0,1,0,0,23.214,92053,8.5,33,,2020-05-12,2020-02-11,1,13,,en,US,True,ABC,Proven Innocent,How to Get Away with Murder
2099,Wayward Pines,2015,16+,7.4,61%,0,1,0,0,15.534,53425,6.7,366,,2016-07-27,2015-05-14,2,20,,en,US,False,FOX,Under the Dome,American Gods
2100,Sailor Moon,1992,16+,7.7,90%,0,1,0,0,89.826,3570,7.8,70,,1997-02-08,1992-03-07,5,200,,ja,JP,False,tv asahi,巨人族の花嫁,デュエル・マスターズ
2101,Home Movies,1999,7+,8.0,100%,0,1,0,0,7.858,2274,7.1,50,,2004-04-04,1999-04-26,4,52,,en,US,False,UPN,21 Jump Street,Boy Meets World
2102,Mr Inbetween,2018,18+,8.3,95%,0,1,0,0,7.554,81358,7.6,20,,2019-11-21,2018-09-25,2,17,,en,AU,True,FX,,
2103,Mayans M.C.,2018,18+,7.5,86%,0,1,0,0,32.925,76231,7.8,83,,2019-11-05,2018-09-04,2,20,,en,US,True,FX,Sons of Anarchy,Gangland Undercover
